2653750, 869161, 2, 0
13519649, 7619134, 4285895, 0
42791271, 48863960, 15307115, 0
94473227, 69561916, 78837640, 0
193942422, 269124927, 167457114, 0
323794794, 269433247, 459263706, 0
529600675, 814854973, 758211794, 0
781350681, 697875061, 1588273116, 0
1157849513, 1899573563, 2352619562, 0
1590202366, 1487634947, 4235638280, 0
2211024843, 3789853272, 5860615542, 0
2854590699, 2759225733, 9432720756, 0
3751963852, 6640016591, 12312130094, 0
4642419513, 4596929363, 18341777930, 0
5932057221, 10755650172, 23254033259, 0
7189541420, 7253389457, 33085680320, 0
8896372297, 16440471926, 40604721642, 0
10529606386, 10782457679, 55344396456, 0
12813541282, 24046276287, 66789950114, 0
14857392790, 15398831893, 87838493370, 0
17710057006, 33657975838, 103845059672, 0
20366972454, 21322226879, 133810756233, 0
23864754315, 45838253263, 155530954361, 0
27078577855, 28589460193, 195753839940, 0

4392080,45901497,201747651,548947619,1402020732,2699716112,5192157797,8530193267,14367474887,21508025380,33233193555,46103925189,66280517410,87203389959,120459490601,154039041614,204196202717,253472107568,328065894312,397009030056,500406247370,598254451144,737665078285,867272858001
