1517692, 66150, 66018, 0
7763494, 287320, 573959, 0
22945925, 737295, 2209014, 1
51798058, 1476241, 5900684, 0
100626183, 2572740, 12852309, 0
173516293, 4023771, 24130488, 0
275680404, 5852697, 40943618, 0
416199058, 8148000, 65153325, 1
599615900, 10887918, 97934644, 0
838782547, 14199933, 141943015, 0
1135151491, 18000277, 197908796, 0
1495928147, 22318254, 267710868, 0
1927112451, 27132406, 352551243, 0
2441947992, 32550366, 455538706, 0
3053914735, 38652341, 579537206, 0
3764877460, 45357135, 725471360, 0
4581268222, 52661350, 894896779, 0
5508584904, 60549687, 1089506763, 0
6581448952, 69298516, 1316134913, 0
7765845284, 78470149, 1568878750, 0
9118885292, 88566307, 1859186695, 0
10628899658, 99375499, 2185571641, 0
12300017741, 110863891, 2548963268, 0
14130549073, 122946077, 2949706608, 0

1914064,10633970,33256579,78353276,157180899,278085787,451160270,693108366,1013130312,1434954473,1962787229,2611408127,3391582235,4329203548,5449368241,6757477170,8266178038,9987711330,11984585636,14198300582,16732764686,19569937220,22717598595,26175267659
