115733, 4801, 0, 0
628958, 63, 12330, 0
2450793, 32833, 32707, 0
7152518, 145939, 291925, 0
19450269, 425738, 567552, 0
44090340, 478776, 1196604, 0
87456728, 1096320, 1826963, 0
159325030, 1082664, 4329896, 0
268458151, 2205375, 5880542, 0
437797725, 1970908, 8867726, 0
680968930, 3845526, 11535704, 0
1005875369, 3254069, 19522428, 0
1449069566, 6027223, 24107649, 0
2031277632, 4881417, 31726162, 0
2774921956, 8751116, 37919569, 0
3735143830, 6980349, 55839096, 0
4907469108, 12215656, 65147944, 0
6402517234, 9498099, 80728553, 0
8158624068, 16326106, 92511197, 0
10288474814, 12469671, 124690685, 0
12899560650, 21295918, 141968985, 0
15972783226, 16035887, 168368274, 0
19577073284, 27000843, 189000451, 0
23714887911, 20113365, 241351092, 0
28529703993, 33470894, 267761682, 0
34121382498, 24689289, 308603833, 0
40396124364, 40679536, 338988512, 0
47527684598, 29760059, 416628065, 0
55690637631, 48778820, 455261233, 0
65200294172, 35589403, 516029357, 0

125335,678404,2647287,8612096,22571953,49834308,96957220,178809942,296391069,477210445,734802798,1090473219,1557554608,2167945114,2944102464,3972460912,5192492196,6744427644,8561321068,10812176896,13510028426,16678328096,20387076774,24720519009,29667692509,35405176408,41833437484,49253716976,57609240203,67335590406
